t,Cumulative_Probability
2.780000,0.750925
2.790000,0.752167
2.800000,0.753403
2.810000,0.754633
2.820000,0.755857
2.830000,0.757074
2.840000,0.758286
2.850000,0.759492
2.860000,0.760691
2.870000,0.761885
2.880000,0.763072
2.890000,0.764254
2.900000,0.765430
2.910000,0.766600
2.920000,0.767764
2.930000,0.768922
2.940000,0.770075
2.950000,0.771221
2.960000,0.772362
2.970000,0.773498
2.980000,0.774627
2.990000,0.775751
3.000000,0.776870
3.010000,0.777983
3.020000,0.779090
3.030000,0.780192
3.040000,0.781288
3.050000,0.782379
3.060000,0.783464
3.070000,0.784544
3.080000,0.785619
3.090000,0.786688
3.100000,0.787752
3.110000,0.788811
3.120000,0.789864
3.130000,0.790912
3.140000,0.791955
3.150000,0.792992
3.160000,0.794025
3.170000,0.795052
3.180000,0.796074
3.190000,0.797091
3.200000,0.798103
3.210000,0.799110
3.220000,0.800112
3.230000,0.801109
3.240000,0.802101
3.250000,0.803088
3.260000,0.804070
3.270000,0.805048
3.280000,0.806020
3.290000,0.806987
3.300000,0.807950
3.310000,0.808908
3.320000,0.809861
3.330000,0.810809
3.340000,0.811753
3.350000,0.812692
3.360000,0.813626
3.370000,0.814556
3.380000,0.815480
3.390000,0.816401
3.400000,0.817316
3.410000,0.818228
3.420000,0.819134
3.430000,0.820036
3.440000,0.820934
3.450000,0.821827
3.460000,0.822716
3.470000,0.823600
3.480000,0.824480
3.490000,0.825355
3.500000,0.826226
3.510000,0.827093
3.520000,0.827955
3.530000,0.828813
3.540000,0.829667
3.550000,0.830517
3.560000,0.831362
3.570000,0.832203
3.580000,0.833040
3.590000,0.833873
3.600000,0.834701
3.610000,0.835526
3.620000,0.836346
3.630000,0.837162
3.640000,0.837974
3.650000,0.838782
3.660000,0.839586
3.670000,0.840386
3.680000,0.841183
3.690000,0.841975
3.700000,0.842763
3.710000,0.843547
3.720000,0.844327
3.730000,0.845104
3.740000,0.845876
3.750000,0.846645
3.760000,0.847410
3.770000,0.848171
3.780000,0.848928
3.790000,0.849682
3.800000,0.850431
3.810000,0.851177
3.820000,0.851920
3.830000,0.852658
3.840000,0.853393
3.850000,0.854124
3.860000,0.854852
3.870000,0.855576
3.880000,0.856296
3.890000,0.857013
3.900000,0.857726
3.910000,0.858436
3.920000,0.859142
3.930000,0.859844
3.940000,0.860543
3.950000,0.861239
3.960000,0.861931
3.970000,0.862619
3.980000,0.863305
3.990000,0.863986
4.000000,0.864665
4.010000,0.865340
